lamp_type_lupvalue,lamp_rating_w,Latitude,Longitude
5.0,35.0,-37.81693512,144.9453317
,,-37.81590983,144.9393246
1.0,18.0,-37.82379112,144.9475905
3.0,36.0,-37.81773536,144.9500659
9.0,,-37.80988672,144.9640748
9.0,,-37.80255648,144.9631257
5.0,70.0,-37.81994059,144.9515185
12.0,,-37.82328036,144.9473134
12.0,,-37.82295078,144.9471438
12.0,,-37.82279299,144.947137
,,-37.81424962,144.9431615
9.0,,-37.81860951,144.9739106
9.0,,-37.81836041,144.9736906
1.0,,-37.81461252,144.9426305
1.0,,-37.8143253,144.9477072
,70.0,-37.8199652,144.9662341
13.0,70.0,-37.81896012,144.9434945
9.0,,-37.81278489,144.965196
9.0,,-37.82269008,144.9464351
3.0,18.0,-37.82248474,144.950877
1.0,,-37.81529261,144.9404626
5.0,150.0,-37.81758487,144.9493037
13.0,35.0,-37.81839417,144.9459511
9.0,,-37.81963916,144.9747615
9.0,,-37.81902974,144.9742853
12.0,,-37.82327067,144.9472833
1.0,4.0,-37.81499875,144.9419981
5.0,150.0,-37.8176401,144.9487396
9.0,,-37.8190374,144.9729091
9.0,,-37.82262276,144.9464248
16.0,,-37.8150472,144.9413835
9.0,10.0,-37.82348163,144.9431059
9.0,,-37.8197313,144.9674562
,80.0,-37.82103361,144.9687539
9.0,,-37.81963095,144.9747543
13.0,70.0,-37.80704499,144.9625759
3.0,36.0,-37.81795431,144.9507152
13.0,70.0,-37.83245569,144.9730097
9.0,,-37.80983269,144.9734388
3.0,36.0,-37.81773422,144.9505769
9.0,,-37.8132264,144.9653987
9.0,,-37.81812547,144.9734121
13.0,70.0,-37.81992039,144.9665359
,,-37.84337553,144.9808472
9.0,,-37.78696107,144.9414409
13.0,14.0,-37.81636552,144.9671893
,,-37.8159455,144.9392607
1.0,35.0,-37.82385726,144.9481321
13.0,14.0,-37.81175043,144.9678598
13.0,70.0,-37.82441588,144.9461052
12.0,,-37.82325392,144.9472357
,70.0,-37.81994736,144.9663756
,,-37.82420075,144.952302
9.0,8.0,-37.82412926,144.9439032
13.0,150.0,-37.82244287,144.9698821
9.0,,-37.81468888,144.9423935
13.0,70.0,-37.80539097,144.970369
13.0,70.0,-37.81867595,144.9459191
,,-37.81588013,144.9393615
9.0,,-37.82273542,144.9464972
,,-37.81579814,144.939479
9.0,,-37.81334608,144.9656431
16.0,,-37.82282563,144.9478247
9.0,14.0,-37.81973872,144.9673368
9.0,,-37.8146241,144.9425077
,,-37.82332529,144.9518944
